,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Malassezia sympodialis,Malassezia sympodialis,Malassezia sympodialis,Malassezia sympodialis,Malassezia,Malassezia,Malasseziaceae,Malasseziaceae,Malasseziales,Malasseziales,Malasseziomycetes,Malasseziomycetes,Basidiomycota,Basidiomycota
Serratia fonticola,Serratia fonticola,Serratia fonticola,Serratia fonticola,Serratia,Serratia,Yersiniaceae,Yersiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pantoea allii,Pantoea allii,Pantoea allii,Pantoea allii,Pantoea,Pantoea,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudomonas helleri,Pseudomonas helleri,Pseudomonas helleri,Pseudomonas helleri,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corynebacterium glucuronolyticum,Corynebacterium glucuronolyticum,Corynebacterium glucuronolyticum,Corynebacterium glucuronolyticum,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Cutibacterium namnetense,Cutibacterium namnetense,Cutibacterium namnetense,Cutibacterium namnetense,Cutibacterium,Cutibacterium,Propionibacteriaceae,Propionibacteriaceae,Propionibacteriales,Propionibacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Malassezia restricta,Malassezia restricta,Malassezia restricta,Malassezia restricta,Malassezia,Malassezia,Malasseziaceae,Malasseziaceae,Malasseziales,Malasseziales,Malasseziomycetes,Malasseziomycetes,Basidiomycota,Basidiomycota
Enterococcus asini,Enterococcus asini,Enterococcus asini,Enterococcus asini,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Campylobacter fetus,Campylobacter fetus,Campylobacter fetus,Campylobacter fetus,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Bacillus sp. FJAT-18017,Bacillus sp. FJAT-18017,Bacillus sp. FJAT-18017,Bacillus sp. FJAT-18017,Bacillus,Bacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Peribacillus simplex,Peribacillus simplex,Peribacillus simplex,Peribacillus simplex,Peribacillus,Peribacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Sphingobium yanoikuyae,Sphingobium yanoikuyae,Sphingobium yanoikuyae,Sphingobium yanoikuyae,Sphingobium,Sphingobium,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadales,Sphingomonadales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Rhizobium pusense,Rhizobium pusense,Rhizobium pusense,Rhizobium pusense,Rhizobium,Rhizobium,Rhizobiaceae,Rhizobiaceae,Hyphomicrobiales,Hyphomicrobiales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Massilia timonae,Massilia timonae,Massilia timonae,Massilia timonae,Massilia,Massilia,Oxalobacteraceae,Oxalobacteraceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Paenibacillus amylolyticus,Paenibacillus amylolyticus,Paenibacillus amylolyticus,Paenibacillus amylolyticus,Paenibacillus,Paenibacillus,Paenibacillaceae,Paenibacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Brevibacillus choshinensis,Brevibacillus choshinensis,Brevibacillus choshinensis,Brevibacillus choshinensis,Brevibacillus,Brevibacillus,Paenibacillaceae,Paenibacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Brevibacillus formosus,Brevibacillus formosus,Brevibacillus formosus,Brevibacillus formosus,Brevibacillus,Brevibacillus,Paenibacillaceae,Paenibacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Companilactobacillus farciminis,Companilactobacillus farciminis,Companilactobacillus farciminis,Companilactobacillus farciminis,Companilactobacillus,Companilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bacillus gobiensis,Bacillus gobiensis,Bacillus gobiensis,Bacillus gobiensis,Bacillus,Bacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Priestia megaterium,Priestia megaterium,Priestia megaterium,Priestia megaterium,Priestia,Priestia,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Corynebacterium atypicum,Corynebacterium atypicum,Corynebacterium atypicum,Corynebacterium atypicum,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium frankenforstense,Corynebacterium frankenforstense,Corynebacterium frankenforstense,Corynebacterium frankenforstense,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Candida orthopsilosis,Candida orthopsilosis,Candida orthopsilosis,Candida orthopsilosis,Candida,Candida,Debaryomycetaceae,Debaryomycetaceae,Saccharomycetales,Saccharomycetales,Saccharomycetes,Saccharomycetes,Ascomycota,Ascomycota
Candida tropicalis,Candida tropicalis,Candida tropicalis,Candida tropicalis,Candida,Candida,Debaryomycetaceae,Debaryomycetaceae,Saccharomycetales,Saccharomycetales,Saccharomycetes,Saccharomycetes,Ascomycota,Ascomycota
Gordonia otitidis,Gordonia otitidis,Gordonia otitidis,Gordonia otitidis,Gordonia,Gordonia,Gordoniaceae,Gordoniaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Acinetobacter sp. TGL-Y2,Acinetobacter sp. TGL-Y2,Acinetobacter sp. TGL-Y2,Acinetobacter sp. TGL-Y2,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Clostridium sartagoforme,Clostridium sartagoforme,Clostridium sartagoforme,Clostridium sartagoforme,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Delftia acidovorans,Delftia acidovorans,Delftia acidovorans,Delftia acidovorans,Delftia,Delftia,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Serratia nematodiphila,Serratia nematodiphila,Serratia nematodiphila,Serratia nematodiphila,Serratia,Serratia,Yersiniaceae,Yersiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corynebacterium tuscaniense,Corynebacterium tuscaniense,Corynebacterium tuscaniense,Corynebacterium tuscaniense,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Gluconobacter japonicus,Gluconobacter japonicus,Gluconobacter japonicus,Gluconobacter japonicus,Gluconobacter,Gluconobacter,Acetobacteraceae,Acetobacteraceae,Rhodospirillales,Rhodospirillales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Raoultella terrigena,Raoultella terrigena,Raoultella terrigena,Raoultella terrigena,Raoultella,Raoultella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudomonas weihenstephanensis,Pseudomonas weihenstephanensis,Pseudomonas weihenstephanensis,Pseudomonas weihenstephanensis,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudomonas versuta,Pseudomonas versuta,Pseudomonas versuta,Pseudomonas versuta,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudomonas lundensis,Pseudomonas lundensis,Pseudomonas lundensis,Pseudomonas lundensis,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Bifidobacterium moukalabense,Bifidobacterium moukalabense,Bifidobacterium moukalabense,Bifidobacterium moukalabense,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Pantoea vagans,Pantoea vagans,Pantoea vagans,Pantoea vagans,Pantoea,Pantoea,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Tropheryma whipplei,Tropheryma whipplei,Tropheryma whipplei,Tropheryma whipplei,Tropheryma,Tropheryma,Tropherymataceae,Tropherymataceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Variovorax paradoxus,Variovorax paradoxus,Variovorax paradoxus,Variovorax paradoxus,Variovorax,Variovorax,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Streptococcus uberis,Streptococcus uberis,Streptococcus uberis,Streptococcus uberis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Streptococcus hongkongensis,Streptococcus hongkongensis,Streptococcus hongkongensis,Streptococcus hongkongensis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Lactococcus chungangensis,Lactococcus chungangensis,Lactococcus chungangensis,Lactococcus chungangensis,Lactococcus,Lactococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Moellerella wisconsensis,Moellerella wisconsensis,Moellerella wisconsensis,Moellerella wisconsensis,Moellerella,Moellerella,Morganellaceae,Morganellaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lentilactobacillus kefiri,Lentilactobacillus kefiri,Lentilactobacillus kefiri,Lentilactobacillus kefiri,Lentilactobacillus,Lentilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridium thermobutyricum,Clostridium thermobutyricum,Clostridium thermobutyricum,Clostridium thermobutyricum,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Staphylococcus pasteuri,Staphylococcus pasteuri,Staphylococcus pasteuri,Staphylococcus pasteuri,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Limosilactobacillus panis,Limosilactobacillus panis,Limosilactobacillus panis,Limosilactobacillus panis,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Trueperella bernardiae,Trueperella bernardiae,Trueperella bernardiae,Trueperella bernardiae,Trueperella,Trueperella,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Actinomyces radicidentis,Actinomyces radicidentis,Actinomyces radicidentis,Actinomyces radicidentis,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Vibrio cholerae,Vibrio cholerae,Vibrio cholerae,Vibrio cholerae,Vibrio,Vibrio,Vibrionaceae,Vibrionaceae,Vibrionales,Vibrionales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Kocuria palustris,Kocuria palustris,Kocuria palustris,Kocuria palustris,Kocuria,Kocuria,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium sp. NML130628,Corynebacterium sp. NML130628,Corynebacterium sp. NML130628,Corynebacterium sp. NML130628,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium sp. NML140438,Corynebacterium sp. NML140438,Corynebacterium sp. NML140438,Corynebacterium sp. NML140438,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Acinetobacter indicus,Acinetobacter indicus,Acinetobacter indicus,Acinetobacter indicus,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corynebacterium kefirresidentii,Corynebacterium kefirresidentii,Corynebacterium kefirresidentii,Corynebacterium kefirresidentii,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Malassezia globosa,Malassezia globosa,Malassezia globosa,Malassezia globosa,Malassezia,Malassezia,Malasseziaceae,Malasseziaceae,Malasseziales,Malasseziales,Malasseziomycetes,Malasseziomycetes,Basidiomycota,Basidiomycota
Kocuria rhizophila,Kocuria rhizophila,Kocuria rhizophila,Kocuria rhizophila,Kocuria,Kocuria,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Dermacoccus sp. PE3,Dermacoccus sp. PE3,Dermacoccus sp. PE3,Dermacoccus sp. PE3,Dermacoccus,Dermacoccus,Dermacoccaceae,Dermacoccaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium lipophiloflavum,Corynebacterium lipophiloflavum,Corynebacterium lipophiloflavum,Corynebacterium lipophiloflavum,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Kytococcus sedentarius,Kytococcus sedentarius,Kytococcus sedentarius,Kytococcus sedentarius,Kytococcus,Kytococcus,Kytococcaceae,Kytococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Anoxybacillus flavithermus,Anoxybacillus flavithermus,Anoxybacillus flavithermus,Anoxybacillus flavithermus,Anoxybacillus,Anoxybacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Helicobacter sp. 11-8110,Helicobacter sp. 11-8110,Helicobacter sp. 11-8110,Helicobacter sp. 11-8110,Helicobacter,Helicobacter,Helicobacteraceae,Helicobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Comamonas aquatica,Comamonas aquatica,Comamonas aquatica,Comamonas aquatica,Comamonas,Comamonas,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Shewanella algae,Shewanella algae,Shewanella algae,Shewanella algae,Shewanella,Shewanella,Shewanellaceae,Shewanellaceae,Alteromonadales,Alteromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Enterococcus cecorum,Enterococcus cecorum,Enterococcus cecorum,Enterococcus cecorum,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Acinetobacter towneri,Acinetobacter towneri,Acinetobacter towneri,Acinetobacter towneri,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Helicobacter pylori,Helicobacter pylori,Helicobacter pylori,Helicobacter pylori,Helicobacter,Helicobacter,Helicobacteraceae,Helicobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Helicobacter winghamensis,Helicobacter winghamensis,Helicobacter winghamensis,Helicobacter winghamensis,Helicobacter,Helicobacter,Helicobacteraceae,Helicobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Treponema berlinense,Treponema berlinense,Treponema berlinense,Treponema berlinense,Treponema,Treponema,Treponemataceae,Treponemataceae,Spirochaetales,Spirochaetales,Spirochaetia,Spirochaetia,Spirochaetes,Spirochaetes
Corynebacterium sp. HMSC08A12,Corynebacterium sp. HMSC08A12,Corynebacterium sp. HMSC08A12,Corynebacterium sp. HMSC08A12,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Campylobacter coli,Campylobacter coli,Campylobacter coli,Campylobacter coli,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Enterococcus devriesei,Enterococcus devriesei,Enterococcus devriesei,Enterococcus devriesei,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Megasphaera cerevisiae,Megasphaera cerevisiae,Megasphaera cerevisiae,Megasphaera cerevisiae,Megasphaera,Megasphaera,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Yokenella regensburgei,Yokenella regensburgei,Yokenella regensburgei,Yokenella regensburgei,Yokenella,Yokenella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Enterobacter sp. 638,Enterobacter sp. 638,Enterobacter sp. 638,Enterobacter sp. 638,Enterobacter,Enterobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Ligilactobacillus acidipiscis,Ligilactobacillus acidipiscis,Ligilactobacillus acidipiscis,Ligilactobacillus acidipiscis,Ligilactobacillus,Ligilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Lentilactobacillus otakiensis,Lentilactobacillus otakiensis,Lentilactobacillus otakiensis,Lentilactobacillus otakiensis,Lentilactobacillus,Lentilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Tetragenococcus halophilus,Tetragenococcus halophilus,Tetragenococcus halophilus,Tetragenococcus halophilus,Tetragenococcus,Tetragenococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Alcaligenes aquatilis,Alcaligenes aquatilis,Alcaligenes aquatilis,Alcaligenes aquatilis,Alcaligenes,Alcaligenes,Alcaligenaceae,Alcaligenaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Proteus vulgaris,Proteus vulgaris,Proteus vulgaris,Proteus vulgaris,Proteus,Proteus,Morganellaceae,Morganellaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Leuconostoc suionicum,Leuconostoc suionicum,Leuconostoc suionicum,Leuconostoc suionicum,Leuconostoc,Leuconostoc,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Alcaligenes faecalis,Alcaligenes faecalis,Alcaligenes faecalis,Alcaligenes faecalis,Alcaligenes,Alcaligenes,Alcaligenaceae,Alcaligenaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Staphylococcus succinus,Staphylococcus succinus,Staphylococcus succinus,Staphylococcus succinus,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
